"Snapshot","VmName","PowerState","CreationDate","AgeDays","ParentSnapshot","IsCurrentSnapshot","SnapshotSizeGB","Description"
"opwtrwtpub2a_vm-219_1","opwtrwtpub2a","PoweredOff","26/06/2019 15:55:36","113 Jours",,"True","11,66 GB","Snapshot g?n?r? par VMware vSphere Update Manager ? 2019-06-26 15:55:37.162 (Heure locale d'Update Manager). Le snapshot sera supprim? automatiquement ? 2019-06-26 18:25:37.162."
"opwtrwtpub29a_vm-254_1","opwtrwtpub29a","PoweredOff","26/06/2019 15:55:37","113 Jours",,"True","11,86 GB","Snapshot g?n?r? par VMware vSphere Update Manager ? 2019-06-26 15:55:37.895 (Heure locale d'Update Manager). Le snapshot sera supprim? automatiquement ? 2019-06-26 18:25:37.895."
"opwtrwtpub14a_vm-247_1","opwtrwtpub14a","PoweredOff","26/06/2019 15:55:37","113 Jours",,"True","11,72 GB","Snapshot g?n?r? par VMware vSphere Update Manager ? 2019-06-26 15:55:37.864 (Heure locale d'Update Manager). Le snapshot sera supprim? automatiquement ? 2019-06-26 18:25:37.864."
"id-fr-evntdb-ws0-a_vm-479_1","id-fr-evntdb-ws0-a","PoweredOff","26/06/2019 15:55:48","113 Jours",,"True","0,42 GB","Snapshot g?n?r? par VMware vSphere Update Manager ? 2019-06-26 15:55:48.378 (Heure locale d'Update Manager). Le snapshot sera supprim? automatiquement ? 2019-06-26 18:25:48.378."
"uaeuifrevtfws1a_vm-434_1","uaeuifrevtfws1a","PoweredOff","26/06/2019 15:55:46","113 Jours",,"True","0,27 GB","Snapshot g?n?r? par VMware vSphere Update Manager ? 2019-06-26 15:55:46.428 (Heure locale d'Update Manager). Le snapshot sera supprim? automatiquement ? 2019-06-26 18:25:46.428."
"opeuifrevtfdb1a_vm-394_1","opeuifrevtfdb1a","PoweredOff","26/06/2019 15:55:44","113 Jours",,"True","0,52 GB","Snapshot g?n?r? par VMware vSphere Update Manager ? 2019-06-26 15:55:44.369 (Heure locale d'Update Manager). Le snapshot sera supprim? automatiquement ? 2019-06-26 18:25:44.369."
"opeuifrevtfdb3a_vm-348_1","opeuifrevtfdb3a","PoweredOff","26/06/2019 15:55:42","113 Jours",,"True","0,53 GB","Snapshot g?n?r? par VMware vSphere Update Manager ? 2019-06-26 15:55:42.404 (Heure locale d'Update Manager). Le snapshot sera supprim? automatiquement ? 2019-06-26 18:25:42.404."
"opeuifrblmws1a_vm-391_1","opeuifrblmws1a","PoweredOff","26/06/2019 15:55:43","113 Jours",,"True","1,08 GB","Snapshot g?n?r? par VMware vSphere Update Manager ? 2019-06-26 15:55:44.229 (Heure locale d'Update Manager). Le snapshot sera supprim? automatiquement ? 2019-06-26 18:25:44.229."
"uaeuifrevtfdb1a_vm-426_1","uaeuifrevtfdb1a","PoweredOff","26/06/2019 15:55:45","113 Jours",,"True","0,42 GB","Snapshot g?n?r? par VMware vSphere Update Manager ? 2019-06-26 15:55:46.054 (Heure locale d'Update Manager). Le snapshot sera supprim? automatiquement ? 2019-06-26 18:25:46.054."
"opeuifrfevtdb1a_vm-369_1","opeuifrfevtdb1a","PoweredOff","26/06/2019 15:55:43","113 Jours",,"True","2,11 GB","Snapshot g?n?r? par VMware vSphere Update Manager ? 2019-06-26 15:55:43.433 (Heure locale d'Update Manager). Le snapshot sera supprim? automatiquement ? 2019-06-26 18:25:43.433."
"id-fr-evntdb-db1-a_vm-373_1","id-fr-evntdb-db1-a","PoweredOff","26/06/2019 15:55:43","113 Jours",,"True","0,66 GB","Snapshot g?n?r? par VMware vSphere Update Manager ? 2019-06-26 15:55:43.558 (Heure locale d'Update Manager). Le snapshot sera supprim? automatiquement ? 2019-06-26 18:25:43.558."
"id-fr-evntdb-ws1-a_vm-419_1","id-fr-evntdb-ws1-a","PoweredOff","26/06/2019 15:55:45","113 Jours",,"True","0,63 GB","Snapshot g?n?r? par VMware vSphere Update Manager ? 2019-06-26 15:55:45.383 (Heure locale d'Update Manager). Le snapshot sera supprim? automatiquement ? 2019-06-26 18:25:45.383."
"id-fr-formpriv2-a_vm-480_1","id-fr-formpriv2-a","PoweredOff","26/06/2019 15:55:48","113 Jours",,"True","0,42 GB","Snapshot g?n?r? par VMware vSphere Update Manager ? 2019-06-26 15:55:48.706 (Heure locale d'Update Manager). Le snapshot sera supprim? automatiquement ? 2019-06-26 18:25:48.706."
